,z,y,x,price,table,depth,carat,-
0,2.43,3.98,3.95,326.0,55.0,61.5,0.23,1.0
1,2.31,3.84,3.89,326.0,61.0,59.8,0.21,2.0
2,2.31,4.07,4.05,327.0,65.0,56.9,0.23,3.0
3,2.63,4.23,4.2,334.0,58.0,62.4,0.29,4.0
4,2.75,4.35,4.34,335.0,58.0,63.3,0.31,5.0
5,2.48,3.96,3.94,336.0,57.0,62.8,0.24,6.0
6,2.47,3.98,3.95,336.0,57.0,62.3,0.24,7.0
7,2.53,4.11,4.07,337.0,55.0,61.9,0.26,8.0
8,2.49,3.78,3.87,337.0,61.0,65.1,0.22,9.0
9,2.39,4.05,4.0,338.0,61.0,59.4,0.23,10.0
10,2.73,4.28,4.25,339.0,55.0,64.0,0.3,11.0
11,2.46,3.9,3.93,340.0,56.0,62.8,0.23,12.0
12,2.33,3.84,3.88,342.0,61.0,60.4,0.22,13.0
13,2.71,4.37,4.35,344.0,54.0,62.2,0.31,14.0
14,2.27,3.75,3.79,345.0,62.0,60.2,0.2,15.0
15,2.68,4.42,4.38,345.0,58.0,60.9,0.32,16.0
16,2.68,4.34,4.31,348.0,54.0,62.0,0.3,17.0
17,2.7,4.29,4.23,351.0,54.0,63.4,0.3,18.0
18,2.71,4.26,4.23,351.0,56.0,63.8,0.3,19.0
19,2.66,4.27,4.21,351.0,59.0,62.7,0.3,20.0
20,2.71,4.3,4.26,351.0,56.0,63.3,0.3,21.0
21,2.48,3.92,3.85,352.0,55.0,63.8,0.23,22.0
22,2.41,3.96,3.94,353.0,57.0,61.0,0.23,23.0
23,2.62,4.43,4.39,353.0,62.0,59.4,0.31,24.0
24,2.59,4.47,4.44,353.0,62.0,58.1,0.31,25.0
25,2.41,4.01,3.97,354.0,58.0,60.4,0.23,26.0
26,2.47,3.94,3.97,355.0,57.0,62.5,0.24,27.0
27,2.67,4.3,4.28,357.0,57.0,62.2,0.3,28.0
28,2.4,3.97,3.96,357.0,61.0,60.5,0.23,29.0
29,2.42,3.99,3.96,357.0,57.0,60.9,0.23,30.0
30,2.41,4.03,4.0,402.0,57.0,60.0,0.23,31.0
31,2.42,4.06,4.04,402.0,57.0,59.8,0.23,32.0
32,2.42,4.01,3.97,402.0,59.0,60.7,0.23,33.0
33,2.4,4.06,4.01,402.0,58.0,59.5,0.23,34.0
34,2.44,3.96,3.92,402.0,58.0,61.9,0.23,35.0
35,2.37,4.08,4.06,402.0,59.0,58.2,0.23,36.0
36,2.46,3.85,3.83,402.0,59.0,64.1,0.23,37.0
37,2.75,4.31,4.29,402.0,54.0,64.0,0.31,38.0
38,2.52,4.16,4.13,403.0,59.0,60.8,0.26,39.0
39,2.78,4.51,4.49,403.0,55.0,61.8,0.33,40.0
40,2.75,4.5,4.49,403.0,56.0,61.2,0.33,41.0
41,2.76,4.55,4.49,403.0,56.0,61.1,0.33,42.0
42,2.61,4.02,3.99,403.0,56.0,65.2,0.26,43.0
43,2.46,4.24,4.19,403.0,63.0,58.4,0.26,44.0
44,2.75,4.37,4.34,403.0,56.0,63.1,0.32,45.0
45,2.65,4.26,4.24,403.0,58.0,62.4,0.29,46.0
46,2.71,4.42,4.35,403.0,55.0,61.8,0.32,47.0
47,2.79,4.38,4.36,403.0,56.0,63.8,0.32,48.0
48,2.54,4.03,4.0,404.0,60.0,63.3,0.25,49.0
49,2.64,4.37,4.33,404.0,60.0,60.7,0.29,50.0
50,2.45,4.03,4.02,404.0,61.0,60.9,0.24,51.0
51,2.44,3.95,3.93,404.0,54.0,61.9,0.23,52.0
52,2.72,4.48,4.45,404.0,55.0,60.9,0.32,53.0
53,2.41,3.89,3.93,404.0,58.0,61.6,0.22,54.0
54,2.31,3.88,3.91,404.0,62.0,59.3,0.22,55.0
55,2.63,4.33,4.3,405.0,59.0,61.0,0.3,56.0
56,2.61,4.38,4.43,405.0,61.0,59.3,0.3,57.0
57,2.67,4.28,4.25,405.0,57.0,62.6,0.3,58.0
58,2.71,4.32,4.28,405.0,57.0,63.0,0.3,59.0
59,2.7,4.29,4.25,405.0,55.0,63.2,0.3,60.0
60,2.78,4.59,4.54,552.0,57.0,60.9,0.35,61.0
61,2.66,4.27,4.23,552.0,59.0,62.6,0.3,62.0
62,2.69,4.32,4.29,552.0,57.0,62.5,0.3,63.0
63,2.68,4.33,4.3,552.0,56.0,62.1,0.3,64.0
64,2.96,4.84,4.78,552.0,59.0,61.5,0.42,65.0
65,2.58,4.22,4.19,553.0,56.0,61.4,0.28,66.0
66,2.73,4.42,4.39,553.0,55.3,62.0,0.32,67.0
